Gene symbol	Gene name	Transcript	Exons in transcript	CDS length
SLC35B1	solute carrier family 35 member B1	NM_005827.4	9	969
SLC35B2	solute carrier family 35 member B2	NM_178148.4	4	1299
SLC35B3	solute carrier family 35 member B3	NM_001142540.2	11	1206
SLC35B4	solute carrier family 35 member B4	NM_032826.5	10	996
SLC35C1	solute carrier family 35 member C1	NM_018389.5	2	1095
SLC35C2	solute carrier family 35 member C2	NM_001281457.2	10	756
SLC35D1	solute carrier family 35 member D1	NM_015139.3	12	1068
SLC35D2	solute carrier family 35 member D2	NM_007001.3	12	1014
SLC35D3	solute carrier family 35 member D3	NM_001008783.3	2	1251
SLC35E1	solute carrier family 35 member E1	NM_024881.5	6	1233
SLC35E2B	solute carrier family 35 member E2B	NM_001110781.3	9	1218
SLC35E3	solute carrier family 35 member E3	NM_018656.5	5	942
SLC35E4	solute carrier family 35 member E4	NM_001001479.4	2	1053
SLC35F1	solute carrier family 35 member F1	NM_001029858.4	8	1227
SLC35F2	solute carrier family 35 member F2	NM_017515.5	8	1125
SLC35F3	solute carrier family 35 member F3	NM_173508.4	8	1473
SLC35F4	solute carrier family 35 member F4	NM_001306087.2	8	1458
SLC35F5	solute carrier family 35 member F5	NM_025181.5	16	1572
SLC35F6	solute carrier family 35 member F6	NM_017877.4	6	1116
SLC35G1	solute carrier family 35 member G1	NM_001134658.3	3	1098
SLC35G2	solute carrier family 35 member G2	NM_001097599.2	2	1239
SLC35G3	solute carrier family 35 member G3	NM_152462.2	1	1017
SLC35G4	solute carrier family 35 member G4	NM_001282300.2	1	1017
SLC35G5	solute carrier family 35 member G5	NM_054028.2	1	1017
SLC35G6	solute carrier family 35 member G6	NM_001102614.2	2	1017
SLC36A1	solute carrier family 36 member 1	NM_078483.4	11	1431
SLC36A2	solute carrier family 36 member 2	NM_181776.3	10	1452
SLC36A3	solute carrier family 36 member 3	NM_001145017.2	11	1536
SLC36A4	solute carrier family 36 member 4	NM_152313.4	11	1515
SLC37A1	solute carrier family 37 member 1	NM_001320537.2	20	1602
SLC37A2	solute carrier family 37 member 2	NM_198277.3	19	1518
SLC37A3	solute carrier family 37 member 3	NM_032295.4	12	1332
SLC37A4	solute carrier family 37 member 4	NM_001164277.2	10	1290
SLC38A1	solute carrier family 38 member 1	NM_001278390.1	17	1512
SLC38A10	solute carrier family 38 member 10	NM_001037984.3	16	3360
SLC38A11	solute carrier family 38 member 11	NM_001199148.2	11	1221
SLC38A2	solute carrier family 38 member 2	NM_018976.5	16	1521
SLC38A3	solute carrier family 38 member 3	NM_006841.6	16	1515
SLC38A4	solute carrier family 38 member 4	NM_001143824.2	16	1644
SLC38A5	solute carrier family 38 member 5	NM_033518.4	17	1419
SLC38A6	solute carrier family 38 member 6	NM_001172702.2	17	1566
SLC38A7	solute carrier family 38 member 7	NM_018231.3	12	1389
SLC38A8	solute carrier family 38 member 8	NM_001080442.3	11	1308
SLC38A9	solute carrier family 38 member 9	NM_173514.4	16	1686
SLC39A1	solute carrier family 39 member 1	NM_001271957.2	4	975
SLC39A10	solute carrier family 39 member 10	NM_001127257.2	10	2496
SLC39A11	solute carrier family 39 member 11	NM_001159770.2	10	1029
SLC39A12	solute carrier family 39 member 12	NM_001145195.2	13	2076
SLC39A13	solute carrier family 39 member 13	NM_152264.5	10	1095
SLC39A14	solute carrier family 39 member 14	NM_015359.6	9	1479
SLC39A2	solute carrier family 39 member 2	NM_014579.4	4	930
SLC39A3	solute carrier family 39 member 3	NM_144564.5	3	945
SLC39A4	solute carrier family 39 member 4	NM_130849.4	12	1944
SLC39A5	solute carrier family 39 member 5	NM_173596.3	13	1623
SLC39A6	solute carrier family 39 member 6	NM_012319.4	10	2268
SLC39A7	solute carrier family 39 member 7	NM_001077516.2	8	1410
SLC39A8	solute carrier family 39 member 8	NM_022154.5	8	1383
SLC39A9	solute carrier family 39 member 9	NM_018375.5	7	924
SLC3A1	solute carrier family 3 member 1	NM_000341.4	10	2058
SLC3A2	solute carrier family 3 member 2	NM_002394.6	12	1893
SLC40A1	solute carrier family 40 member 1	NM_014585.6	8	1716
SLC41A1	solute carrier family 41 member 1	NM_173854.6	11	1542
SLC41A2	solute carrier family 41 member 2	NM_032148.6	12	1722
SLC41A3	solute carrier family 41 member 3	NM_001008487.2	10	1386
SLC43A1	solute carrier family 43 member 1	NM_001198810.2	15	1680
SLC43A2	solute carrier family 43 member 2	NM_001284498.2	15	1722
SLC43A3	solute carrier family 43 member 3	NM_001278206.2	14	1515
SLC44A1	solute carrier family 44 member 1	NM_080546.5	16	1974
SLC44A2	solute carrier family 44 member 2	NM_020428.4	22	2121
SLC44A3	solute carrier family 44 member 3	NM_001114106.3	15	1962
SLC44A4	solute carrier family 44 member 4	NM_025257.3	21	2133
SLC44A5	solute carrier family 44 member 5	NM_152697.6	24	2160
SLC45A1	solute carrier family 45 member 1	NM_001080397.3	9	2247
SLC45A2	solute carrier family 45 member 2	NM_016180.5	7	1593
SLC45A3	solute carrier family 45 member 3	NM_033102.3	5	1662
SLC45A4	solute carrier family 45 member 4	NM_001080431.3	8	2397
SLC46A1	solute carrier family 46 member 1	NM_080669.6	5	1380
SLC46A2	solute carrier family 46 member 2	NM_033051.4	4	1428
SLC46A3	solute carrier family 46 member 3	NM_001135919.2	7	1392
SLC47A1	solute carrier family 47 member 1	NM_018242.3	17	1713
SLC47A2	solute carrier family 47 member 2	NM_152908.5	17	1809
SLC48A1	solute carrier family 48 member 1	NM_017842.3	3	441
SLC49A3	solute carrier family 49 member 3	NM_001294341.2	10	1683
SLC49A4	solute carrier family 49 member 4	NM_032839.3	9	1437
SLC4A1	solute carrier family 4 member 1 (Diego blood group)	NM_000342.4	20	2736
SLC4A10	solute carrier family 4 member 10	NM_022058.4	26	3267
SLC4A11	solute carrier family 4 member 11	NM_032034.4	19	2676
SLC4A1AP	solute carrier family 4 member 1 adaptor protein	NM_018158.3	14	2229
SLC4A2	solute carrier family 4 member 2	NM_001199692.3	23	3726
SLC4A3	solute carrier family 4 member 3	NM_201574.3	23	3780
SLC4A4	solute carrier family 4 member 4	NM_003759.4	23	3108
SLC4A5	solute carrier family 4 member 5	NM_021196.3	26	3414
SLC4A7	solute carrier family 4 member 7	NM_003615.5	25	3645
SLC4A8	solute carrier family 4 member 8	NM_001039960.3	25	3282
SLC4A9	solute carrier family 4 member 9	NM_001258428.2	22	2952
SLC50A1	solute carrier family 50 member 1	NM_018845.4	6	666
SLC51A	solute carrier family 51 subunit alpha	NM_152672.6	9	1023
SLC51B	solute carrier family 51 subunit beta	NM_178859.4	4	387
SLC52A1	solute carrier family 52 member 1	NM_017986.4	5	1347
SLC52A2	solute carrier family 52 member 2	NM_024531.5	5	1338
SLC52A3	solute carrier family 52 member 3	NM_033409.4	5	1410
SLC5A1	solute carrier family 5 member 1	NM_000343.4	15	1995
SLC5A10	solute carrier family 5 member 10	NM_152351.6	15	1839
SLC5A11	solute carrier family 5 member 11	NM_001352248.3	17	2028
SLC5A12	solute carrier family 5 member 12	NM_178498.4	15	1857
SLC5A2	solute carrier family 5 member 2	NM_003041.4	14	2019
SLC5A3	solute carrier family 5 member 3	NM_006933.7	2	2157
SLC5A4	solute carrier family 5 member 4	NM_014227.3	15	1980
SLC5A5	solute carrier family 5 member 5	NM_000453.3	15	1932
SLC5A6	solute carrier family 5 member 6	NM_021095.4	17	1908
SLC5A7	solute carrier family 5 member 7	NM_021815.5	9	1743
SLC5A8	solute carrier family 5 member 8	NM_145913.5	15	1833
SLC5A9	solute carrier family 5 member 9	NM_001135181.2	15	2121
SLC66A1	solute carrier family 66 member 1	NM_001040125.2	8	876
SLC66A2	solute carrier family 66 member 2	NM_025078.5	6	816
SLC66A3	solute carrier family 66 member 3	NM_152391.5	7	609
SLC6A1	solute carrier family 6 member 1	NM_003042.4	16	1800
SLC6A11	solute carrier family 6 member 11	NM_014229.3	14	1899
SLC6A12	solute carrier family 6 member 12	NM_003044.5	17	1845
SLC6A13	solute carrier family 6 member 13	NM_001190997.3	13	1533
SLC6A14	solute carrier family 6 member 14	NM_007231.5	14	1929
SLC6A15	solute carrier family 6 member 15	NM_182767.6	12	2193
SLC6A16	solute carrier family 6 member 16	NM_014037.3	12	2211
SLC6A17	solute carrier family 6 member 17	NM_001010898.4	12	2184
SLC6A18	solute carrier family 6 member 18	NM_182632.3	12	1887
SLC6A19	solute carrier family 6 member 19	NM_001003841.3	12	1905
SLC6A2	solute carrier family 6 member 2	NM_001043.3	14	1854
SLC6A20	solute carrier family 6 member 20	NM_020208.4	11	1779
SLC6A3	solute carrier family 6 member 3	NM_001044.5	15	1863
SLC6A4	solute carrier family 6 member 4	NM_001045.6	15	1893
SLC6A5	solute carrier family 6 member 5	NM_004211.5	16	2394
SLC6A6	solute carrier family 6 member 6	NM_001134367.3	15	2166
SLC6A7	solute carrier family 6 member 7	NM_014228.5	14	1911
SLC6A8	solute carrier family 6 member 8	NM_005629.4	13	1908
SLC6A9	solute carrier family 6 member 9	NM_201649.4	14	2121
SLC7A1	solute carrier family 7 member 1	NM_003045.5	13	1890
SLC7A10	solute carrier family 7 member 10	NM_019849.3	11	1572
SLC7A11	solute carrier family 7 member 11	NM_014331.4	12	1506
SLC7A13	solute carrier family 7 member 13	NM_138817.3	4	1413
SLC7A14	solute carrier family 7 member 14	NM_020949.3	8	2316
SLC7A2	solute carrier family 7 member 2	NM_001008539.4	12	1977
SLC7A3	solute carrier family 7 member 3	NM_001048164.3	12	1860
SLC7A4	solute carrier family 7 member 4	NM_004173.3	5	1908
SLC7A5	solute carrier family 7 member 5	NM_003486.7	10	1524
SLC7A6	solute carrier family 7 member 6	NM_001076785.3	12	1548
SLC7A6OS	solute carrier family 7 member 6 opposite strand	NM_032178.3	5	930
SLC7A7	solute carrier family 7 member 7	NM_001126106.4	11	1536
SLC7A8	solute carrier family 7 member 8	NM_012244.4	11	1608
SLC7A9	solute carrier family 7 member 9	NM_014270.5	13	1464
SLC8A1	solute carrier family 8 member A1	NM_021097.5	11	2922
SLC8A2	solute carrier family 8 member A2	NM_015063.3	10	2766
SLC8A3	solute carrier family 8 member A3	NM_183002.3	8	2784
SLC8B1	solute carrier family 8 member B1	NM_024959.4	16	1755
SLC9A1	solute carrier family 9 member A1	NM_003047.5	12	2448
SLC9A2	solute carrier family 9 member A2	NM_003048.6	12	2439
SLC9A3	solute carrier family 9 member A3	NM_004174.4	17	2505
SLC9A4	solute carrier family 9 member A4	NM_001011552.4	12	2397
SLC9A5	solute carrier family 9 member A5	NM_004594.3	16	2691
SLC9A6	solute carrier family 9 member A6	NM_006359.3	16	2010
SLC9A7	solute carrier family 9 member A7	NM_032591.3	17	2178
SLC9A8	solute carrier family 9 member A8	NM_001260491.2	16	1794
SLC9A9	solute carrier family 9 member A9	NM_173653.4	16	1938
SLC9B1	solute carrier family 9 member B1	NM_139173.4	12	1548
SLC9B2	solute carrier family 9 member B2	NM_178833.7	12	1614
SLC9C1	solute carrier family 9 member C1	NM_183061.3	29	3534
SLC9C2	solute carrier family 9 member C2 (putative)	NM_178527.4	28	3375
SLCO1A2	solute carrier organic anion transporter family member 1A2	NM_021094.4	14	2013
SLCO1B1	solute carrier organic anion transporter family member 1B1	NM_006446.5	15	2076
SLCO1B3	solute carrier organic anion transporter family member 1B3	NM_019844.4	16	2109
SLCO1B3-SLCO1B7	SLCO1B3-SLCO1B7 readthrough	NM_001371097.1	16	2247
SLCO1C1	solute carrier organic anion transporter family member 1C1	NM_001145944.2	13	1839
SLCO2A1	solute carrier organic anion transporter family member 2A1	NM_005630.3	14	1932
SLCO2B1	solute carrier organic anion transporter family member 2B1	NM_007256.5	14	2130
SLCO3A1	solute carrier organic anion transporter family member 3A1	NM_013272.4	10	2133
SLCO4A1	solute carrier organic anion transporter family member 4A1	NM_016354.4	12	2169
SLCO4C1	solute carrier organic anion transporter family member 4C1	NM_180991.5	13	2175
SLCO5A1	solute carrier organic anion transporter family member 5A1	NM_030958.3	10	2547
SLCO6A1	solute carrier organic anion transporter family member 6A1	NM_001289002.2	14	2160
SLF1	SMC5-SMC6 complex localization factor 1	NM_032290.4	21	3177
SLF2	SMC5-SMC6 complex localization factor 2	NM_018121.4	20	3522
SLFN11	schlafen family member 11	NM_001104587.2	7	2706
SLFN12	schlafen family member 12	NM_001289009.2	4	1737
SLFN12L	schlafen family member 12 like	NM_001195790.3	6	1713
SLFN13	schlafen family member 13	NM_144682.6	6	2694
SLFN14	schlafen family member 14	NM_001129820.2	6	2739
SLFN5	schlafen family member 5	NM_144975.4	5	2676
SLFNL1	schlafen like 1	NM_001168247.3	6	1224
SLIRP	SRA stem-loop interacting RNA binding protein	NM_031210.6	4	330
SLIT1	slit guidance ligand 1	NM_003061.3	37	4605
SLIT2	slit guidance ligand 2	NM_004787.4	37	4590
SLIT3	slit guidance ligand 3	NM_003062.4	36	4572
SLITRK1	SLIT and NTRK like family member 1	NM_052910.2	1	2091
SLITRK2	SLIT and NTRK like family member 2	NM_032539.5	5	2538
SLITRK3	SLIT and NTRK like family member 3	NM_001318810.2	2	2934
SLITRK4	SLIT and NTRK like family member 4	NM_173078.5	2	2514
SLITRK5	SLIT and NTRK like family member 5	NM_015567.2	2	2877
SLITRK6	SLIT and NTRK like family member 6	NM_032229.3	2	2526
SLK	STE20 like kinase	NM_014720.4	19	3708
SLMAP	sarcolemma associated protein	NM_007159.5	22	2436
SLN	sarcolipin	NM_003063.3	2	96
SLPI	secretory leukocyte peptidase inhibitor	NM_003064.4	4	399
SLTM	SAFB like transcription modulator	NM_001013843.3	21	3051
SLU7	SLU7 homolog, splicing factor	NM_006425.5	16	1761
SLURP1	secreted LY6/PLAUR domain containing 1	NM_020427.3	3	312
SLURP2	secreted LY6/PLAUR domain containing 2	NM_177458.3	3	294
SLX1A	SLX1 homolog A, structure-specific endonuclease subunit	NM_001014999.3	6	828
SLX1B	SLX1 homolog B, structure-specific endonuclease subunit	NM_024044.5	6	828
SLX4	SLX4 structure-specific endonuclease subunit	NM_032444.4	15	5505
SLX4IP	SLX4 interacting protein	NM_001009608.3	8	1227
SLX9	SLX9 ribosome biogenesis factor	NM_058190.4	6	693
SMAD1	SMAD family member 1	NM_005900.3	7	1398
SMAD2	SMAD family member 2	NM_005901.6	11	1404
SMAD3	SMAD family member 3	NM_005902.4	9	1278
SMAD4	SMAD family member 4	NM_005359.6	12	1659
SMAD5	SMAD family member 5	NM_001001419.3	9	1397
SMAD6	SMAD family member 6	NM_005585.5	4	1491
SMAD7	SMAD family member 7	NM_005904.4	4	1281
SMAD9	SMAD family member 9	NM_001127217.3	7	1404
SMAGP	small cell adhesion glycoprotein	NM_001031628.2	4	294
SMAP1	small ArfGAP 1	NM_001044305.3	11	1404
SMAP2	small ArfGAP2	NM_022733.3	10	1290
SMARCA1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 1	NM_003069.5	25	3165
SMARCA2	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2	NM_003070.5	34	4773
SMARCA4	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4	NM_001128849.3	36	5040
SMARCA5	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 5	NM_003601.4	24	3159
SMARCAD1	SWI/SNF-related, matrix-associated actin-dependent regulator of chromatin, subfamily a, containing DEAD/H box 1	NM_001254949.2	16	1791
SMARCAL1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a like 1	NM_014140.4	18	2865
SMARCB1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1	NM_003073.5	9	1158
SMARCC1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin subfamily c member 1	NM_003074.4	28	3318
SMARCC2	SWI/SNF related, matrix associated, actin dependent regulator of chromatin subfamily c member 2	NM_003075.5	28	3645
SMARCD1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 1	NM_003076.5	13	1548
SMARCD2	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 2	NM_001098426.2	13	1596
SMARCD3	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 3	NM_001003801.2	13	1452
SMARCE1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily e, member 1	NM_003079.5	11	1236
SMC1A	structural maintenance of chromosomes 1A	NM_006306.4	25	3702
SMC1B	structural maintenance of chromosomes 1B	NM_148674.5	25	3708
SMC2	structural maintenance of chromosomes 2	NM_001042550.2	25	3594
SMC3	structural maintenance of chromosomes 3	NM_005445.4	29	3654
SMC4	structural maintenance of chromosomes 4	NM_005496.3	23	3867
SMC5	structural maintenance of chromosomes 5	NM_015110.4	25	3306
SMC6	structural maintenance of chromosomes 6	NM_001142286.2	28	3276
SMCHD1	structural maintenance of chromosomes flexible hinge domain containing 1	NM_015295.3	48	6018
SMCO1	single-pass membrane protein with coiled-coil domains 1	NM_001077657.3	3	645
SMCO2	single-pass membrane protein with coiled-coil domains 2	NM_001145010.3	9	1032
SMCO3	single-pass membrane protein with coiled-coil domains 3	NM_001013698.2	2	678
SMCO4	single-pass membrane protein with coiled-coil domains 4	NM_020179.3	3	180
SMCP	sperm mitochondria associated cysteine rich protein	NM_030663.3	2	351
SMCR8	SMCR8-C9orf72 complex subunit	NM_144775.3	2	2814
SMDT1	single-pass membrane protein with aspartate rich tail 1	NM_033318.5	3	324
SMG1	SMG1 nonsense mediated mRNA decay associated PI3K related kinase	NM_015092.5	63	10986
SMG5	SMG5 nonsense mediated mRNA decay factor	NM_015327.3	22	3051
SMG6	SMG6 nonsense mediated mRNA decay factor	NM_017575.5	19	4260
SMG7	SMG7 nonsense mediated mRNA decay factor	NM_201569.3	23	3537
SMG8	SMG8 nonsense mediated mRNA decay factor	NM_018149.7	4	2976
SMG9	SMG9 nonsense mediated mRNA decay factor	NM_019108.4	14	1563
SMIM1	small integral membrane protein 1 (Vel blood group)	NM_001163724.3	4	237
SMIM10	small integral membrane protein 10	NM_001163438.2	1	252
SMIM10L1	small integral membrane protein 10 like 1	NM_001271592.2	1	207
SMIM10L2A	small integral membrane protein 10 like 2A	NM_203306.3	2	237
SMIM10L2B	small integral membrane protein 10 like 2B	NM_001348255.2	2	237
SMIM11	small integral membrane protein 11	NM_058182.5	4	177
SMIM12	small integral membrane protein 12	NM_001164824.2	3	279
SMIM13	small integral membrane protein 13	NM_001135575.2	2	276
SMIM14	small integral membrane protein 14	NM_001317896.2	6	300
SMIM15	small integral membrane protein 15	NM_001048249.4	3	225
SMIM17	small integral membrane protein 17	NM_001193628.2	4	357
SMIM18	small integral membrane protein 18	NM_001206847.2	3	288
SMIM19	small integral membrane protein 19	NM_001135674.2	4	324
SMIM2	small integral membrane protein 2	NM_024058.3	3	258
SMIM20	small integral membrane protein 20	NM_001145432.3	3	204
SMIM21	small integral membrane protein 21	NM_001037331.3	3	306
SMIM22	small integral membrane protein 22	NM_001253791.1	6	267
SMIM23	small integral membrane protein 23	NM_001289970.2	4	519
SMIM24	small integral membrane protein 24	NM_001136503.2	4	393
SMIM26	small integral membrane protein 26	NM_001348957.2	2	288
SMIM27	small integral membrane protein 27	NM_001349118.1	3	168
SMIM28	small integral membrane protein 28	NM_001368163.3	2	459
SMIM29	small integral membrane protein 29	NM_001008703.4	5	309
SMIM3	small integral membrane protein 3	NM_032947.5	2	183
SMIM30	small integral membrane protein 30	NM_001352688.2	3	180
SMIM31	small integral membrane protein 31	NM_001352885.1	3	216
SMIM32	small integral membrane protein 32	NM_001350994.2	1	312
SMIM33	small integral membrane protein 33	NM_001365197.1	2	399
SMIM34	small integral membrane protein 34	NM_001367348.2	2	420
SMIM35	small integral membrane protein 35	NM_001354434.2	6	522
SMIM36	small integral membrane protein 36	NM_001395421.1	5	282
SMIM38	small integral membrane protein 38	NM_001369201.2	3	156
SMIM39	small integral membrane protein 39	NM_001395417.1	10	171
SMIM40	small integral membrane protein 40	NM_001369203.1	3	240
SMIM41	small integral membrane protein 41	NM_001369216.1	3	282
SMIM42	small integral membrane protein 42	NM_001395415.1	1	213
SMIM43	small integral membrane protein 43	NM_001384332.1	6	192
SMIM44	small integral membrane protein 44	NM_001395954.1	2	450
SMIM45	small integral membrane protein 45	NM_001395940.1	2	207
SMIM47	small integral membrane protein 47	NM_001384597.1	3	87
SMIM5	small integral membrane protein 5	NM_001162995.3	3	234
SMIM6	small integral membrane protein 6	NM_001162997.2	2	189
SMIM7	small integral membrane protein 7	NM_001300925.2	5	312
SMIM8	small integral membrane protein 8	NM_001042493.3	4	294
SMIM9	small integral membrane protein 9	NM_001162936.4	5	300
SMKR1	small lysine rich protein 1	NM_001195243.2	2	198
SMLR1	small leucine rich protein 1	NM_001195597.2	2	324
SMN1	survival of motor neuron 1, telomeric	NM_000344.4	9	885
SMN2	survival of motor neuron 2, centromeric	NM_017411.4	9	885
SMNDC1	survival motor neuron domain containing 1	NM_005871.4	6	717
SMO	smoothened, frizzled class receptor	NM_005631.5	12	2364
SMOC1	SPARC related modular calcium binding 1	NM_001034852.3	12	1308
SMOC2	SPARC related modular calcium binding 2	NM_022138.3	13	1374
SMOX	spermine oxidase	NM_001270691.2	8	1758
SMPD1	sphingomyelin phosphodiesterase 1	NM_000543.5	6	1896
SMPD2	sphingomyelin phosphodiesterase 2	NM_003080.3	10	1272
SMPD3	sphingomyelin phosphodiesterase 3	NM_018667.4	9	1968
SMPD4	sphingomyelin phosphodiesterase 4	NM_017951.5	20	2484
SMPDL3A	sphingomyelin phosphodiesterase acid like 3A	NM_006714.5	8	1362
SMPDL3B	sphingomyelin phosphodiesterase acid like 3B	NM_014474.4	8	1368
SMPX	small muscle protein X-linked	NM_014332.3	5	267
SMR3A	submaxillary gland androgen regulated protein 3A	NM_012390.4	3	405
SMR3B	submaxillary gland androgen regulated protein 3B	NM_006685.4	3	240
SMS	spermine synthase	NM_004595.5	11	1101
SMTN	smoothelin	NM_001207017.1	21	3009
SMTNL1	smoothelin like 1	NM_001105565.3	8	1485
SMTNL2	smoothelin like 2	NM_001114974.2	8	1386
SMU1	SMU1 DNA replication regulator and spliceosomal factor	NM_018225.3	12	1542
SMUG1	single-strand-selective monofunctional uracil-DNA glycosylase 1	NM_014311.3	4	813
SMURF1	SMAD specific E3 ubiquitin protein ligase 1	NM_001199847.2	18	2187
SMURF2	SMAD specific E3 ubiquitin protein ligase 2	NM_022739.4	19	2247
SMYD1	SET and MYND domain containing 1	NM_198274.4	10	1473
SMYD2	SET and MYND domain containing 2	NM_020197.3	12	1302
SMYD3	SET and MYND domain containing 3	NM_022743.3	12	1110
SMYD4	SET and MYND domain containing 4	NM_052928.3	11	2415
SMYD5	SMYD family member 5	NM_006062.3	13	1257
SNAI1	snail family transcriptional repressor 1	NM_005985.4	3	795
SNAI2	snail family transcriptional repressor 2	NM_003068.5	3	807
SNAI3	snail family transcriptional repressor 3	NM_178310.4	3	879
SNAP23	synaptosome associated protein 23	NM_003825.4	8	636
SNAP25	synaptosome associated protein 25	NM_003081.5	8	621
SNAP29	synaptosome associated protein 29	NM_004782.4	5	777
SNAP47	synaptosome associated protein 47	NM_053052.4	5	1260
SNAP91	synaptosome associated protein 91	NM_001242792.2	30	2724
SNAPC1	small nuclear RNA activating complex polypeptide 1	NM_003082.4	10	1107
SNAPC2	small nuclear RNA activating complex polypeptide 2	NM_003083.4	5	1005
SNAPC3	small nuclear RNA activating complex polypeptide 3	NM_001039697.2	9	1236
SNAPC4	small nuclear RNA activating complex polypeptide 4	NM_003086.4	24	4410
SNAPC5	small nuclear RNA activating complex polypeptide 5	NM_006049.4	4	297
SNAPIN	SNAP associated protein	NM_012437.6	4	411
SNCA	synuclein alpha	NM_000345.4	6	423
SNCAIP	synuclein alpha interacting protein	NM_005460.4	11	2760
SNCB	synuclein beta	NM_001001502.3	7	405
SNCG	synuclein gamma	NM_003087.3	5	384
SND1	staphylococcal nuclease and tudor domain containing 1	NM_014390.4	24	2733
SNED1	sushi, nidogen and EGF like domains 1	NM_001080437.3	32	4242
SNF8	SNF8 subunit of ESCRT-II	NM_007241.4	8	777
SNIP1	Smad nuclear interacting protein 1	NM_024700.4	4	1191
SNN	stannin	NM_003498.6	2	267
SNORC	secondary ossification center associated regulator of chondrocyte maturation	NM_001346120.3	4	366
SNPH	syntaphilin	NM_001318234.2	7	1617
SNRK	SNF related kinase	NM_017719.5	7	2298
SNRNP200	small nuclear ribonucleoprotein U5 subunit 200	NM_014014.5	45	6411
SNRNP25	small nuclear ribonucleoprotein U11/U12 subunit 25	NM_024571.4	5	372
SNRNP27	small nuclear ribonucleoprotein U4/U6.U5 subunit 27	NM_006857.3	6	468
SNRNP35	small nuclear ribonucleoprotein U11/U12 subunit 35	NM_180699.3	2	756
SNRNP40	small nuclear ribonucleoprotein U5 subunit 40	NM_004814.3	10	1074
SNRNP48	small nuclear ribonucleoprotein U11/U12 subunit 48	NM_152551.4	9	1020
SNRNP70	small nuclear ribonucleoprotein U1 subunit 70	NM_003089.6	10	1314
SNRPA	small nuclear ribonucleoprotein polypeptide A	NM_004596.5	6	849
SNRPA1	small nuclear ribonucleoprotein polypeptide A'	NM_003090.4	9	768
SNRPB	small nuclear ribonucleoprotein polypeptides B and B1	NM_198216.2	7	723
SNRPB2	small nuclear ribonucleoprotein polypeptide B2	NM_003092.5	7	678
SNRPC	small nuclear ribonucleoprotein polypeptide C	NM_003093.3	6	480
SNRPD1	small nuclear ribonucleoprotein D1 polypeptide	NM_006938.4	4	360
SNRPD2	small nuclear ribonucleoprotein D2 polypeptide	NM_004597.6	4	357
SNRPD3	small nuclear ribonucleoprotein D3 polypeptide	NM_001278656.2	4	381
SNRPE	small nuclear ribonucleoprotein polypeptide E	NM_003094.4	5	279
SNRPF	small nuclear ribonucleoprotein polypeptide F	NM_003095.5	4	261
SNRPG	small nuclear ribonucleoprotein polypeptide G	NM_001317165.2	5	291
SNRPN	small nuclear ribonucleoprotein polypeptide N	NM_003097.6	10	723
SNTA1	syntrophin alpha 1	NM_003098.3	8	1518
SNTB1	syntrophin beta 1	NM_021021.4	7	1617
SNTB2	syntrophin beta 2	NM_006750.4	7	1623
SNTG1	syntrophin gamma 1	NM_018967.5	19	1554
SNTG2	syntrophin gamma 2	NM_018968.4	17	1620
SNTN	sentan, cilia apical structure protein	NM_001080537.2	4	444
SNU13	small nuclear ribonucleoprotein 13	NM_001003796.2	3	387
SNUPN	snurportin 1	NM_005701.4	9	1083
SNURF	SNRPN upstream open reading frame	NM_005678.5	10	216
SNW1	SNW domain containing 1	NM_001318844.2	13	1716
SNX1	sorting nexin 1	NM_003099.5	15	1569
SNX10	sorting nexin 10	NM_001199835.1	7	606
SNX11	sorting nexin 11	NM_013323.3	7	813
SNX12	sorting nexin 12	NM_001256185.2	5	489
SNX13	sorting nexin 13	NM_015132.5	26	2874
SNX14	sorting nexin 14	NM_153816.6	29	2841
SNX15	sorting nexin 15	NM_013306.5	8	1029
SNX16	sorting nexin 16	NM_022133.4	9	1035
SNX17	sorting nexin 17	NM_014748.4	15	1413
SNX18	sorting nexin 18	NM_052870.4	1	1887
SNX19	sorting nexin 19	NM_014758.3	11	2979
SNX2	sorting nexin 2	NM_003100.4	15	1560
SNX20	sorting nexin 20	NM_182854.4	4	951
SNX21	sorting nexin family member 21	NM_033421.4	4	1122
SNX22	sorting nexin 22	NM_024798.3	7	582
SNX24	sorting nexin 24	NM_014035.4	7	510
SNX25	sorting nexin 25	NM_001317781.2	19	2523
SNX27	sorting nexin 27	NM_030918.6	12	1587
SNX29	sorting nexin 29	NM_032167.5	21	2442
SNX3	sorting nexin 3	NM_003795.6	4	489
SNX30	sorting nexin family member 30	NM_001012994.2	9	1314
SNX31	sorting nexin 31	NM_152628.4	14	1323
